movieName,Year,Director,genre,Rating,Duration,Plot
Rebecca,1940,Alfred Hitchcock,"Drama, Film-Noir, Mystery            ",8.1,130 min,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
It's Such a Beautiful Day,2012,Don Hertzfeldt,"Animation, Comedy, Drama            ",8.2,62 min,"Bill struggles to put together his shattered psyche, in this new feature film version of Don Hertzfeldt's animated short film trilogy."
Smultronstället,1957,Ingmar Bergman,"Drama, Romance            ",8.1,91 min,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
A Matter of Life and Death,1946,Michael Powell,"Drama, Fantasy, Romance            ",8,104 min,"A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl."
Charulata,1964,Satyajit Ray,"Drama, Romance            ",8.1,117 min,"The lonely wife of a newspaper editor falls in love with her visiting cousin-in-law, who shares her love for literature."
Il conformista,1970,Bernardo Bertolucci,Drama            ,7.9,113 min,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
Playtime,1967,Jacques Tati,Comedy            ,7.8,155 min,"Monsieur Hulot curiously wanders around a high-tech Paris, paralleling a trip with a group of American tourists. Meanwhile, a nightclub/restaurant prepares its opening night, but it's still under construction."
The Big Parade,1925,King Vidor,"Drama, Romance, War            ",7.9,151 min,A young American soldier witnesses the horrors of the Great War.
Le trou,1960,Jacques Becker,"Crime, Drama, Thriller            ",8.5,131 min,Distrust and uncertainty arise when four long-term inmates cautiously induct a new prisoner into their elaborate prison-break scheme.
Das Boot,1981,Wolfgang Petersen,"Drama, War            ",8.4,149 min,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
Umberto D.,1952,Vittorio De Sica,Drama            ,8.2,89 min,An elderly man and his dog struggle to survive on his government pension in Rome.
Inside Out,I) (2015,Pete Docter,"Animation, Adventure, Comedy            ",8.1,95 min,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
The Army of Shadows,1969,Jean-Pierre Melville,"Drama, War            ",8.1,145 min,An account of underground resistance fighters in Nazi-occupied France.
Monty Python and the Holy Grail,1975,Terry Gilliam,"Adventure, Comedy, Fantasy            ",8.2,91 min,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,"Animation, Action, Adventure            ",8.4,117 min,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
Au revoir les enfants,1987,Louis Malle,"Drama, War            ",8,104 min,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond."
The Last Picture Show,1971,Peter Bogdanovich,"Drama, Romance            ",8,118 min,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically."
Kumonosu-jô,1957,Akira Kurosawa,Drama            ,8.1,110 min,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
Hiroshima mon amour,1959,Alain Resnais,"Drama, Romance            ",7.8,90 min,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
The Kid,1921,Charles Chaplin,"Comedy, Drama, Family            ",8.2,68 min,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
The General,1926,Clyde Bruckman,"Action, Adventure, Comedy            ",8.1,78 min,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized by Union spies and return it through enemy lines."
Apollo 11,I) (2019,Todd Douglas Miller,"Documentary, History            ",8.1,93 min,A look at the Apollo 11 mission to land on the moon led by commander Neil Armstrong and pilots Buzz Aldrin and Mike Collins.
Cool Hand Luke,1967,Stuart Rosenberg,"Crime, Drama            ",8.1,127 min,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform."
Le notti di Cabiria,1957,Federico Fellini,Drama            ,8.1,110 min,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
El ángel exterminador,1962,Luis Buñuel,"Drama, Fantasy            ",8,95 min,The guests at an upper-class dinner party find themselves unable to leave.
Bronenosets Potemkin,1925,Sergei Eisenstein,"Drama, History, Thriller            ",7.9,75 min,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
Stalker,1979,Andrei Tarkovsky,"Drama, Sci-Fi            ",8.1,162 min,A guide leads two men through an area known as the Zone to find a room that grants wishes.
Der letzte Mann,1924,F.W. Murnau,Drama            ,8,77 min,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel."
The Cameraman,1928,Edward Sedgwick,"Comedy, Drama, Family            ",8,76 min,"Hopelessly in love with a woman working at MGM Studios, a clumsy man attempts to become a motion-picture cameraman to be close to the object of his desire."
Sátántangó,1994,Béla Tarr,Drama            ,8.2,439 min,"On the eve of a large payment, residents of a collapsing collective farm see their plans turn into desolation when they discover that Irimiás, a former co-worker who they thought was dead, is returning to the community."
Annie Hall,1977,Woody Allen,"Comedy, Romance            ",8,93 min,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
Touch of Evil,1958,Orson Welles,"Crime, Drama, Film-Noir            ",8,95 min,"A stark, perverse story of murder, kidnapping and police corruption in a Mexican border town."
The Searchers,1956,John Ford,"Adventure, Drama, Western            ",7.8,119 min,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.
8½,1963,Federico Fellini,Drama            ,8,138 min,A harried movie director retreats into his memories and fantasies.
The Grapes of Wrath,1940,John Ford,Drama            ,8.1,129 min,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
Un chien andalou,1929,Luis Buñuel,"Short, Fantasy, Horror            ",7.6,16 min,"Luis Buñuel and Salvador Dalí present 16 minutes of bizarre, surreal imagery."
The Dark Knight,2008,Christopher Nolan,"Action, Crime, Drama            ",9,152 min,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Bride of Frankenstein,1935,James Whale,"Drama, Horror, Sci-Fi            ",7.8,75 min,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
Once Upon a Time in the West,1968,Sergio Leone,Western            ,8.5,166 min,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
The Bridge on the River Kwai,1957,David Lean,"Adventure, Drama, War            ",8.1,161 min,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid through the jungle to destroy it."
La meglio gioventù,2003,Marco Tullio Giordana,"Drama, Romance            ",8.5,366 min,An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.
